t,elapsed_ns,count,checksum
169550889,8370084,372104,94625353034
2594558035,8396708,949866,5998121819743
1804652510,8403458,949389,3916211657200
3418233436,8447291,940504,8089435321331
2312741444,8376958,949972,5255664086985
9555999,8382875,26387,356081508
3151701388,8427666,948010,7453207679649
1552010928,8389542,946607,3248127085518
1023714362,8449792,917706,1874709217978
1418205214,8445291,943982,2897548183151
3309276150,8402584,945216,7844789839133
1218755603,8935208,935329,2377556032157
441039198,8455375,699208,514571570658
2916892313,8349709,949440,6845265825985
3159818038,8396792,947926,7473716207108
13083781,8378833,35675,656769105
1915000591,8592125,949563,4206941887346
2923678820,8826750,949393,6862783156779
2593724137,8447625,949882,5996101755073
2566105980,8375375,949862,5922674045052
2969921924,8393667,949245,6983512545517
978772233,8379375,911500,1760155121694
2230232273,8446833,949769,5036902524025
2776852742,8376667,949595,6476863551812
695175290,8400459,841949,1064549324834
3476924689,8388208,935727,8200861476252
1997536319,8421459,949624,4425088522258
2875168840,8470334,949398,6734906143023
3574226013,8401959,916346,8274656894803
1232047346,8479875,936167,2411766197527
612599791,8419625,806920,875290387287
3518111093,8475292,930139,8257954221880
1076204414,8401625,923652,2009469955341
1200542075,8446708,934173,2330647103129
587151362,8395000,794390,818908736244
2550267599,8398916,949908,5881000471001
609544068,8393000,805391,868296165760
3339029577,8379042,944279,7914473459193
807329532,8447084,877211,1332119639077
2412497572,8490416,949912,5517928284783
2473011917,8502167,949776,5675960885709
2663619256,8429500,949783,6179945152060
2573497154,8521292,949924,5942556669691
2117383551,8468042,949521,4739872163656
2943735102,8470291,949329,6915037060297
935430092,8410417,904764,1650169616197
2888476531,8397375,949305,6769251172426
743882569,8414792,858814,1179303363325
46176797,8457500,119480,7843453274
2714557372,9145792,949597,6312962762513
1190609345,8484625,933536,2304986981051
959788881,8403000,908795,1712118746311
3113719819,8404208,948451,7357529945816
522755521,8382250,757672,680392097710
1074900476,8402375,923509,2006080977413
3597919504,8381875,902639,8202922421172
2012942995,8393042,949565,4465031363773
16814268,8416084,45530,1077607863
486435270,8382875,733384,604826531990
1723913932,8400458,948551,3701320872035
2708549609,8372958,949704,6297869644471
246469480,8398750,491335,187420809394
131117601,8440500,302539,58584853786
3333389530,8362208,944484,7901578960920
3523579092,8394042,929183,8263503651532
3503116874,8361500,932484,8240513850090
3266285192,8596417,946187,7740156525155
3197550241,8432083,947365,7569229146464
488204738,8563750,734581,608406380998
1723301103,8513458,948567,3699810035057
2674128235,8438500,949797,6207834862148
2744925326,8464584,949556,6392681655624
2218972597,8445916,949824,5007617276114
2998095261,8422666,949140,7056822832043
3285380192,8403416,945763,7786957578800
2680875959,8426292,949827,6225997038321
1803283004,8424333,949358,3912504226286
2209933029,8418083,949772,4983611886982
3025994735,8431958,948964,7129307961349
