t,elapsed_ns,count,checksum
169550889,19228000,372104,94625353034
2594558035,19091333,949866,5998121819743
1804652510,19134417,949389,3916211657200
3418233436,19092292,940504,8089435321331
2312741444,19067708,949972,5255664086985
9555999,19013125,26387,356081508
3151701388,19106625,948010,7453207679649
1552010928,19113000,946607,3248127085518
1023714362,19070417,917706,1874709217978
1418205214,19112167,943982,2897548183151
3309276150,19144083,945216,7844789839133
1218755603,19062792,935329,2377556032157
441039198,19124750,699208,514571570658
2916892313,19038458,949440,6845265825985
3159818038,19093666,947926,7473716207108
13083781,19013208,35675,656769105
1915000591,19912500,949563,4206941887346
2923678820,19352041,949393,6862783156779
2593724137,19104417,949882,5996101755073
2566105980,19210375,949862,5922674045052
2969921924,19804542,949245,6983512545517
978772233,13603250,911500,1760155121694
2230232273,12970333,949769,5036902524025
2776852742,12012708,949595,6476863551812
695175290,11343917,841949,1064549324834
3476924689,11401250,935727,8200861476252
1997536319,11344250,949624,4425088522258
2875168840,11465625,949398,6734906143023
3574226013,11398458,916346,8274656894803
1232047346,11481208,936167,2411766197527
612599791,11614375,806920,875290387287
3518111093,11495125,930139,8257954221880
1076204414,11448084,923652,2009469955341
1200542075,12399792,934173,2330647103129
587151362,12329500,794390,818908736244
2550267599,12396458,949908,5881000471001
609544068,13538042,805391,868296165760
3339029577,14533375,944279,7914473459193
807329532,17322167,877211,1332119639077
2412497572,19060542,949912,5517928284783
2473011917,19104000,949776,5675960885709
2663619256,19092250,949783,6179945152060
2573497154,19067708,949924,5942556669691
2117383551,19115750,949521,4739872163656
2943735102,19170542,949329,6915037060297
935430092,19110167,904764,1650169616197
2888476531,19098792,949305,6769251172426
743882569,19076250,858814,1179303363325
46176797,19056292,119480,7843453274
2714557372,19170708,949597,6312962762513
1190609345,17894542,933536,2304986981051
959788881,11675000,908795,1712118746311
3113719819,11509083,948451,7357529945816
522755521,13092709,757672,680392097710
1074900476,11460000,923509,2006080977413
3597919504,11363417,902639,8202922421172
2012942995,11337750,949565,4465031363773
16814268,11597583,45530,1077607863
486435270,11431041,733384,604826531990
1723913932,11287916,948551,3701320872035
2708549609,11332167,949704,6297869644471
246469480,11363041,491335,187420809394
131117601,11387667,302539,58584853786
3333389530,11345959,944484,7901578960920
3523579092,11375500,929183,8263503651532
3503116874,11424250,932484,8240513850090
3266285192,11434416,946187,7740156525155
3197550241,11496042,947365,7569229146464
488204738,11650708,734581,608406380998
1723301103,11211292,948567,3699810035057
2674128235,11197083,949797,6207834862148
2744925326,11499834,949556,6392681655624
2218972597,11226083,949824,5007617276114
2998095261,11154834,949140,7056822832043
3285380192,11187791,945763,7786957578800
2680875959,11308375,949827,6225997038321
1803283004,11248208,949358,3912504226286
2209933029,11898625,949772,4983611886982
3025994735,11348917,948964,7129307961349
3264565529,11276500,946229,7736035354977
382646445,11242792,648711,405067864962
2486541216,11239291,949799,5711963464517
1166434136,11480375,931744,2241896127300
1718772092,11466125,948503,3687541545296
3505386877,11409042,932140,8243293025048
591580946,11394750,796687,828565484006
1142140922,11341875,929859,2178914878196
1796093384,11345833,949273,3893283545629
303453705,11438542,564164,270961724168
151979701,11467334,341054,77148094357
3540043586,11399416,925907,8275613447428
1921507079,11342458,949609,4224049575579
3149641602,11321000,948013,7447820316059
1381121985,11213917,943005,2801099053734
1246169167,11187667,937032,2448746181941
3256486157,11182375,946517,7717171281729
1609482065,11180583,947307,3398793350069
2118119592,11216958,949509,4741791751044
3276945172,11254334,945982,7766396362055
2103742373,11202750,949627,4704783316146
2605402727,11231667,949804,6026547110635
1899256328,11199459,949669,4166061996636
1037797263,11241666,919411,1910508662929
569963295,11401834,785255,781164395262
1218583082,11297292,935306,2377100315909
2940117688,11334000,949306,6905246886631
1298960068,11342292,939738,2586039810557
1919832691,11368500,949619,4219804545588
2739109521,13216375,949698,6378308284899
3105009256,12368208,948487,7334768379146
2634058066,12366875,949716,6101353618439
3053371998,12261750,948910,7202033674547
3508373444,12284208,931672,8246644287765
1696205449,13239458,948242,3627881898791
3443086307,14039333,938599,8137876040680
2434747006,14464167,949715,5575783620923
1365261852,17804625,942474,2759461648239
2822233883,19168750,949499,6595680231210
2586275729,19078708,949936,5976678926763
3060175400,19053292,948725,7218645571041
803247430,19106125,876077,1322043365357
1262867663,19120041,937914,2492051030116
1844788559,19232625,949499,4022406662113
1540261831,19193625,946306,3217127884267
378415036,19156042,644614,397434190774
937500296,19154417,905077,1655231446226
3491558410,19069417,934091,8224714382009
2750457403,19266208,949607,6407579559634
579735153,19222292,790399,802430374304
3252073786,19088083,946572,7705917148050
3000070946,19087667,949187,7062430289914
3562120620,19125584,920370,8281082774726
1220210470,19141625,935421,2381301755202
1929956053,19177083,949611,4246806178853
2078064966,19122250,949593,4636928960729
1398264658,19138000,943593,2846172158224
3215750146,19170750,947177,7615057403010
3314184393,19158166,945044,7855976150543
3041459328,19120542,948825,7169701680974
3011302733,19147041,949014,7090831308561
3103422335,19198875,948479,7330602710987
3172231609,19051750,947791,7505875535249
1790367500,19049416,949166,3877825743805
1522706372,19096834,946133,3171605581097
1371810725,19084167,942763,2776826363426
1659458903,19145458,947823,3530536662793
680479056,19110458,836363,1030183171095
2480056494,19184792,949696,5694196252328
2573614069,19083292,949933,5942898756441
633679204,19070250,816827,922988521999
1633805504,19114334,947492,3462846610702
2947384613,19102375,949340,6924872438753
